Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-118.188903,51.009584,neutral_passive,POINT (276395.558568874 5653468.14494021),5653468.14494021,276395.558568874,0,0
-118.18913499999996,51.009653,aggressive,POINT (276379.62639178685 5653476.516807599),5653476.516807599,276379.62639178685,0,0
-118.192404,51.010261,neutral_passive,POINT (276153.3842919727 5653554.009848993),5653554.009848993,276153.3842919727,0,0
-118.190759,51.01033100000001,curious_risk,POINT (276269.0414571478 5653556.790402818),5653556.790402818,276269.0414571478,0,0
-118.207356,51.010598,neutral_passive,POINT (275106.8309116934 5653637.00620711),5653637.00620711,275106.8309116934,0,0
-118.203296,51.010733,neutral_passive,POINT (275392.1004934087 5653639.618954085),5653639.618954085,275392.1004934087,0,0
-118.20145100000002,51.01076599999999,neutral_passive,POINT (275521.5991215178 5653637.661291791),5653637.661291791,275521.5991215178,0,0
-118.189438,51.011432,curious_risk,POINT (276366.94709190424 5653675.125745085),5653675.125745085,276366.94709190424,0,0
-118.203972,51.01198699999999,curious_risk,POINT (275350.77429625444 5653781.029303351),5653781.029303351,275350.77429625444,0,0
-118.182746,51.01204800000001,neutral_passive,POINT (276839.02644931374 5653723.280521197),5653723.280521197,276839.02644931374,0,0
-118.18819299999998,51.012091000000005,neutral_passive,POINT (276457.39426944836 5653744.576819551),5653744.576819551,276457.39426944836,0,0
-118.20122499999998,51.012286,neutral_passive,POINT (275544.78522391414 5653805.8800864145),5653805.8800864145,275544.78522391414,0,0
-118.198714,51.012382,neutral_passive,POINT (275721.2703183413 5653808.89865655),5653808.89865655,275721.2703183413,0,0
-118.19580999999997,51.012644,neutral_passive,POINT (275926.10465434485 5653829.174042142),5653829.174042142,275926.10465434485,0,0
-118.19546800000002,51.01360500000001,curious_risk,POINT (275954.7129891438 5653934.9233488785),5653934.9233488785,275954.7129891438,0,0
-118.18097599999996,51.012195,neutral_passive,POINT (276963.8106043682 5653734.254308495),5653734.254308495,276963.8106043682,0,0
-118.182066,51.012337,aggressive,POINT (276888.0827928793 5653753.335202404),5653753.335202404,276888.0827928793,0,0
-118.172936,51.012535,neutral_passive,POINT (277529.0482117238 5653747.720535506),5653747.720535506,277529.0482117238,0,0
-118.18242399999995,51.013013,neutral_passive,POINT (276866.2333659724 5653829.539444893),5653829.539444893,276866.2333659724,0,0
-118.17309399999998,51.01371600000001,neutral_passive,POINT (277523.62756278255 5653879.435297122),5653879.435297122,277523.62756278255,0,0
-118.17465599999998,51.01430500000001,neutral_passive,POINT (277416.955630013 5653949.606777551),5653949.606777551,277416.955630013,0,0
-118.169567,51.014742000000005,neutral_passive,POINT (277775.772488339 5653982.800747221),5653982.800747221,277775.772488339,0,0
-118.180166,51.014806,curious_risk,POINT (277033.12281001935 5654021.946274358),5654021.946274358,277033.12281001935,0,0
-118.18034400000002,51.01553299999998,neutral_passive,POINT (277024.1348845622 5654103.272249105),5654103.272249105,277024.1348845622,0,0
-118.181597,51.01615499999999,aggressive,POINT (276939.2916400853 5654176.18555211),5654176.18555211,276939.2916400853,0,0
-118.20716500000002,51.013954,neutral_passive,POINT (275136.4632503264 5654009.352728065),5654009.352728065,275136.4632503264,0,0
-118.20694899999997,51.014138,neutral_passive,POINT (275152.4948398175 5654029.139961205),5654029.139961205,275152.4948398175,0,0
-118.19216,51.01445299999999,neutral_passive,POINT (276190.6833749609 5654019.098511349),5654019.098511349,276190.6833749609,0,0
-118.206617,51.01447399999999,curious_risk,POINT (275177.3931334894 5654065.463876497),5654065.463876497,275177.3931334894,0,0
-118.188499,51.014737,neutral_passive,POINT (276448.675414938 5654039.5389357135),5654039.5389357135,276448.675414938,0,0
-118.19265699999995,51.015126,neutral_passive,POINT (276159.0877498989 5654095.39512569),5654095.39512569,276159.0877498989,0,0
-118.18868500000002,51.015367000000005,curious_risk,POINT (276438.6690965299 5654110.111469393),5654110.111469393,276438.6690965299,0,0
-118.19162699999995,51.015393,curious_risk,POINT (276232.5727258265 5654121.935197512),5654121.935197512,276232.5727258265,0,0
-118.202728,51.015412000000005,neutral_passive,POINT (275454.5335395731 5654157.83329266),5654157.83329266,275454.5335395731,0,0
-118.19870899999998,51.015615,neutral_passive,POINT (275737.2273045519 5654168.145662478),5654168.145662478,275737.2273045519,0,0
-118.191373,51.016268,neutral_passive,POINT (276254.5912725573 5654218.396720587),5654218.396720587,276254.5912725573,0,0
-118.19869299999998,51.016559,neutral_passive,POINT (275742.90586087434 5654272.997539587),5654272.997539587,275742.90586087434,0,0
-118.195318,51.01686500000001,curious_risk,POINT (275980.94812656555 5654296.729930362),5654296.729930362,275980.94812656555,0,0
-118.18860700000002,51.016977,curious_risk,POINT (276451.8840900522 5654288.78393167),5654288.78393167,276451.8840900522,0,0
-118.187731,51.01697799999999,aggressive,POINT (276513.2906434439 5654286.236436203),5654286.236436203,276513.2906434439,0,0
-118.193659,51.01701799999999,neutral_passive,POINT (276097.9704967161 5654308.686860709),5654308.686860709,276097.9704967161,0,0
-118.19726,51.017061,aggressive,POINT (275845.77255893324 5654324.419065055),5654324.419065055,275845.77255893324,0,0
-118.195274,51.01714200000001,neutral_passive,POINT (275985.36800161423 5654327.377331602),5654327.377331602,275985.36800161423,0,0
-118.199516,51.017295,neutral_passive,POINT (275688.7725711695 5654357.290794732),5654357.290794732,275688.7725711695,0,0
-118.201398,51.01751199999998,neutral_passive,POINT (275557.90663482103 5654387.138402883),5654387.138402883,275557.90663482103,0,0
-118.18806600000002,51.017514,curious_risk,POINT (276492.3882843995 5654346.815399875),5654346.815399875,276492.3882843995,0,0
-118.19723799999996,51.01753300000001,curious_risk,POINT (275849.59212390566 5654376.8024275275),5654376.8024275275,275849.59212390566,0,0
-118.200409,51.017969,neutral_passive,POINT (275629.43528551044 5654434.908277774),5654434.908277774,275629.43528551044,0,0
-118.207101,51.018288,aggressive,POINT (275161.92638226465 5654490.765816296),5654490.765816296,275161.92638226465,0,0
-118.184298,51.018973,neutral_passive,POINT (276763.5085377913 5654497.516601754),5654497.516601754,276763.5085377913,0,0
-118.184806,51.01920100000001,neutral_passive,POINT (276728.99854180106 5654524.392825487),5654524.392825487,276728.99854180106,0,0
-118.18758799999998,51.019526000000006,neutral_passive,POINT (276535.5717289614 5654568.945934372),5654568.945934372,276535.5717289614,0,0
-118.203144,51.02018600000001,neutral_passive,POINT (275448.4523438199 5654689.60498781),5654689.60498781,275448.4523438199,0,0
-118.193027,51.02075599999999,aggressive,POINT (276160.28278541914 5654722.145967381),5654722.145967381,276160.28278541914,0,0
-118.192769,51.020829,aggressive,POINT (276178.71713697945 5654729.4738391945),5654729.4738391945,276178.71713697945,0,0
-118.200834,51.021287,neutral_passive,POINT (275615.67508249416 5654804.910983133),5654804.910983133,275615.67508249416,0,0
-118.201558,51.02139999999999,neutral_passive,POINT (275565.47839683853 5654819.674167481),5654819.674167481,275565.47839683853,0,0
-118.20910299999998,51.02148499999999,neutral_passive,POINT (275037.08832888847 5654852.141056482),5654852.141056482,275037.08832888847,0,0
-118.173147,51.017539,neutral_passive,POINT (277538.2196440997 5654304.422767531),5654304.422767531,277538.2196440997,0,0
-118.150118,51.01777,neutral_passive,POINT (279153.48584823945 5654260.7834619),5654260.7834619,279153.48584823945,0,0
-118.159465,51.019529,neutral_passive,POINT (278506.7177909041 5654484.321477554),5654484.321477554,278506.7177909041,0,0
-118.162473,51.02023299999999,neutral_passive,POINT (278299.24765610206 5654571.60401422),5654571.60401422,278299.24765610206,0,0
-118.163004,51.020776,neutral_passive,POINT (278264.62266295264 5654633.543199599),5654633.543199599,278264.62266295264,0,0
-118.171009,51.02112600000001,neutral_passive,POINT (277705.2442968531 5654696.56929893),5654696.56929893,277705.2442968531,0,0
-118.168453,51.02484,neutral_passive,POINT (277902.14828958747 5655101.572725919),5655101.572725919,277902.14828958747,0,0
-118.173866,51.02484499999999,neutral_passive,POINT (277522.82015718485 5655118.467822246),5655118.467822246,277522.82015718485,0,0
-118.178618,51.025268,neutral_passive,POINT (277191.8218366642 5655179.840538591),5655179.840538591,277191.8218366642,0,0
