Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-115.5213,51.15670299999999,neutral_passive,POINT (463558.6364393422 5665112.402050134),5665112.402050134,463558.6364393422,0,0
-115.51952199999998,51.15786599999999,curious_risk,POINT (463683.8394644661 5665240.803367481),5665240.803367481,463683.8394644661,0,0
-115.53017199999998,51.13386899999999,aggressive,POINT (462920.15410265786 5662578.583130371),5662578.583130371,462920.15410265786,0,0
-115.528855,51.142572,neutral_passive,POINT (463019.2169620968 5663545.353796609),5663545.353796609,463019.2169620968,0,0
-115.53348099999998,51.145246000000014,neutral_passive,POINT (462697.8959532009 5663844.933620685),5663844.933620685,462697.8959532009,0,0
-115.52778700000002,51.15922199999999,curious_risk,POINT (463107.175906292 5665395.65091979),5665395.65091979,463107.175906292,0,0
-115.52618499999996,51.159934,neutral_passive,POINT (463219.7227558634 5665473.995541253),5665473.995541253,463219.7227558634,0,0
-115.526281,51.16061100000001,neutral_passive,POINT (463213.55084088905 5665549.299779195),5665549.299779195,463213.55084088905,0,0
-115.532313,51.16142800000001,curious_risk,POINT (462792.58063172747 5665643.152509562),5665643.152509562,462792.58063172747,0,0
-115.533148,51.16144099999999,neutral_passive,POINT (462734.2269389835 5665645.020309091),5665645.020309091,462734.2269389835,0,0
-115.532602,51.16153799999999,neutral_passive,POINT (462772.4688770728 5665655.5264831325),5665655.5264831325,462772.4688770728,0,0
-115.530817,51.161585,neutral_passive,POINT (462897.272800683 5665659.849178843),5665659.849178843,462897.272800683,0,0
-115.52590799999996,51.158203999999984,neutral_passive,POINT (463237.7099982166 5665281.5479797255),5665281.5479797255,463237.7099982166,0,0
-115.520786,51.15838,neutral_passive,POINT (463595.8870701274 5665298.565074743),5665298.565074743,463595.8870701274,0,0
-115.52495,51.159316,neutral_passive,POINT (463305.55835171486 5665404.681038664),5665404.681038664,463305.55835171486,0,0
-115.524174,51.159535,neutral_passive,POINT (463359.9745523628 5665428.63855492),5665428.63855492,463359.9745523628,0,0
-115.520553,51.160084,neutral_passive,POINT (463613.514662335 5665487.868729811),5665487.868729811,463613.514662335,0,0
-115.525492,51.16011499999999,curious_risk,POINT (463268.3068332901 5665493.76946221),5665493.76946221,463268.3068332901,0,0
-115.523266,51.16051100000001,neutral_passive,POINT (463424.21562002966 5665536.680147811),5665536.680147811,463424.21562002966,0,0
-115.51940799999998,51.160833,neutral_passive,POINT (463694.1372438696 5665570.562834813),5665570.562834813,463694.1372438696,0,0
-115.52596400000002,51.161089,neutral_passive,POINT (463236.0885911269 5665602.276423684),5665602.276423684,463236.0885911269,0,0
-115.52140999999996,51.161551,neutral_passive,POINT (463554.76694364735 5665651.366743324),5665651.366743324,463554.76694364735,0,0
-115.532238,51.161776,neutral_passive,POINT (462798.10283360333 5665681.798724447),5665681.798724447,462798.10283360333,0,0
-115.532918,51.161971,neutral_passive,POINT (462750.73013874923 5665703.819325105),5665703.819325105,462750.73013874923,0,0
-115.530996,51.16232,curious_risk,POINT (462885.3510578551 5665741.643084072),5665741.643084072,462885.3510578551,0,0
-115.528427,51.162794,neutral_passive,POINT (463065.29206924886 5665793.040453406),5665793.040453406,463065.29206924886,0,0
