name,geometry,tourism,Latitude,Longitude,Lat,Lon
,POINT (413843.6007227922 5694540.290513743),viewpoint,51.416035,-116.2394627,5694540.290513743,413843.6007227922
,POINT (418497.4084729122 5692224.401676207),information,51.3958957,-116.1719953,5692224.401676207,418497.4084729122
Re21 Ball Pass Junction,POINT (432238.1279857303 5663040.816993988),camp_site,51.1352165,-115.9689038,5663040.816993988,432238.1279857303
Re14 Shadow Lake,POINT (434094.2142871371 5666618.55857014),camp_site,51.167614,-115.9430239,5666618.55857014,434094.2142871371
E13 Egypt Lake,POINT (437156.32971347315 5660024.091898912),camp_site,51.1086431,-115.8980636,5660024.091898912,437156.32971347315
Sp6 - Mount Rundle,POINT (463028.8152742263 5661928.577444804),camp_site,51.12803,-115.528554,5661928.577444804,463028.8152742263
,POINT (459983.24409339495 5629865.663180378),attraction,50.8393973,-115.5685578,5629865.663180378,459983.24409339495
Lower Waterfowl Lake Viewpoint,POINT (387872.6242912523 5743275.667199532),viewpoint,51.8496948,-116.6285658,5743275.667199532,387872.6242912523
Lake Minnewanka,POINT (471818.2971865514 5677986.704925185),attraction,51.272982,-115.4041626,5677986.704925185,471818.2971865514
Valley View,POINT (468429.2991747131 5666112.069326658),picnic_site,51.1659863,-115.4517168,5666112.069326658,468429.2991747131
,POINT (360993.782817218 5779295.456148085),viewpoint,52.1674232,-117.033352,5779295.456148085,360993.782817218
,POINT (359412.1471923436 5780000.228660425),viewpoint,52.1733571,-117.0567639,5780000.228660425,359412.1471923436
,POINT (411316.40941470565 5692049.737804821),attraction,51.3932467,-116.2751869,5692049.737804821,411316.40941470565
,POINT (423621.64262086625 5682444.872092284),attraction,51.3086534,-116.0962231,5682444.872092284,423621.64262086625
,POINT (417741.2581297405 5684769.518584201),picnic_site,51.3287402,-116.1811398,5684769.518584201,417741.2581297405
,POINT (425752.33870268054 5687061.517641392),picnic_site,51.3504579,-116.0666112,5687061.517641392,425752.33870268054
,POINT (426708.68012809625 5694329.354766532),camp_site,51.4159487,-116.0543769,5694329.354766532,426708.68012809625
Hidden Lake,POINT (423672.4587448676 5701005.207074093),camp_site,51.4755888,-116.099489,5701005.207074093,423672.4587448676
Baker Lake Camp Sk11,POINT (428259.0299313483 5702984.964875552),camp_site,51.493995,-116.033835,5702984.964875552,428259.0299313483
Red Deer Lakes SK19,POINT (427691.4459292969 5707852.581879694),camp_site,51.5377009,-116.0430125,5707852.581879694,427691.4459292969
,POINT (430307.8072876851 5708490.9121010825),attraction,51.5437711,-116.0054061,5708490.9121010825,430307.8072876851
Molar Creek Campground,POINT (416845.055798514 5713637.729619713),camp_site,51.5882335,-116.2008007,5713637.729619713,416845.055798514
Camp (random camping),POINT (419929.3216198087 5720391.737651671),camp_site,51.6494216,-116.1578178,5720391.737651671,419929.3216198087
,POINT (475009.50749985775 5677205.784790285),attraction,51.2661063,-115.3583431,5677205.784790285,475009.50749985775
,POINT (470543.74053438223 5679659.64718926),attraction,51.2879662,-115.4225789,5679659.64718926,470543.74053438223
Monarch Viewpoint,POINT (444178.25807591365 5657361.404106762),viewpoint,51.0854197,-115.7973164,5657361.404106762,444178.25807591365
Egypt Lake Shelter,POINT (437162.742320479 5659992.117629197),alpine_hut,51.1083562,-115.8979664,5659992.117629197,437162.742320479
Halfway Lodge,POINT (459085.5398696252 5646743.877113497),alpine_hut,50.9911671,-115.583207,5646743.877113497,459085.5398696252
,POINT (420726.88553066517 5698491.226058604),picnic_site,51.4525735,-116.1413462,5698491.226058604,420726.88553066517
,POINT (437334.98558637855 5659994.932799614),attraction,51.1084004,-115.8955058,5659994.932799614,437334.98558637855
RE-16 Pharaoh Creek,POINT (436351.8092395621 5664363.053394874),camp_site,51.1475823,-115.9103259,5664363.053394874,436351.8092395621
,POINT (446372.8059121171 5671979.936121184),picnic_site,51.2171235,-115.7681545,5671979.936121184,446372.8059121171
,POINT (442292.92083243397 5673175.498864282),picnic_site,51.2274794,-115.8267808,5673175.498864282,442292.92083243397
,POINT (440470.44156518125 5674766.386049564),camp_site,51.2416017,-115.8531533,5674766.386049564,440470.44156518125
Johnston canyon,POINT (441341.5349360592 5675230.0584145),attraction,51.2458626,-115.8407467,5675230.0584145,441341.5349360592
