Longitude,Latitude,Encounter Type
-64.849587,43.826834,curious_risk
-64.85403099999999,43.82813599999999,aggressive
-64.854093,43.831347,aggressive
-64.822711,43.831419,neutral_passive
-64.85065599999999,43.8317,neutral_passive
-64.830116,43.83334899999999,aggressive
-64.862689,43.83456499999999,aggressive
-64.847839,43.835699,neutral_passive
-64.835898,43.840366,neutral_passive
-64.83669799999998,43.842043,neutral_passive
-64.836945,43.84215799999998,neutral_passive
-64.86284999999998,43.84329499999999,curious_risk
-64.842484,43.843348,neutral_passive
-79.197548,43.875281,aggressive
-79.18638999999997,43.93555999999999,neutral_passive
-59.991575999999995,43.941965999999994,aggressive
-79.191211,43.959812,curious_risk
-79.25823000000001,44.081492,curious_risk
-76.394348,44.237642,curious_risk
-76.39845799999999,44.237804999999994,aggressive
-76.4031,44.24667199999999,curious_risk
-76.19825699999997,44.290404,curious_risk
-76.090961,44.29451000000001,curious_risk
-65.231943,44.298635000000004,neutral_passive
-76.163528,44.299493999999996,neutral_passive
-76.20560699999999,44.30326099999999,curious_risk
-76.12119199999997,44.307949,neutral_passive
-76.17982799999999,44.308006,aggressive
-65.21429,44.314449,aggressive
-76.100213,44.31895999999999,curious_risk
-65.173605,44.320085,curious_risk
-76.182414,44.320646,curious_risk
-76.102293,44.32083700000001,curious_risk
-76.11127099999997,44.32101799999999,curious_risk
-76.097782,44.32318999999999,curious_risk
-76.171028,44.323221999999994,curious_risk
-76.11031599999998,44.325784,curious_risk
-76.09442399999998,44.328585,curious_risk
-76.096583,44.328681999999986,curious_risk
-76.089019,44.329793,neutral_passive
-65.209432,44.330286999999984,neutral_passive
-76.107757,44.33059399999999,curious_risk
-65.222416,44.333888,aggressive
-76.09213300000002,44.334811,curious_risk
-76.09905899999998,44.336774,curious_risk
-76.09195199999998,44.33699699999999,curious_risk
-76.11143099999998,44.337065,curious_risk
-76.11048999999998,44.33706699999999,curious_risk
-75.961996,44.341449,neutral_passive
-76.09869799999998,44.343193,curious_risk
-76.05954499999999,44.349973999999996,curious_risk
-75.95846099999999,44.35045,neutral_passive
-76.07808,44.353593,neutral_passive
-65.21505,44.358052,curious_risk
-76.076428,44.358740999999995,neutral_passive
-65.206582,44.361111,curious_risk
-65.242117,44.37674499999999,neutral_passive
-65.21851799999999,44.377900999999994,curious_risk
-65.21434899999998,44.380905,curious_risk
-65.22734899999999,44.38232799999999,curious_risk
-65.203467,44.382649,neutral_passive
-65.207752,44.387697,neutral_passive
-75.900164,44.387832999999986,curious_risk
-65.2529,44.390984,curious_risk
-75.91940699999998,44.392481,curious_risk
-65.253817,44.393081,curious_risk
-65.212666,44.393763,curious_risk
-65.240236,44.395579000000005,neutral_passive
-65.20738799999998,44.396,curious_risk
-65.221387,44.396088,curious_risk
-65.23223,44.397002,curious_risk
-65.202074,44.397321,neutral_passive
-65.244737,44.39770699999998,curious_risk
-65.260101,44.40203399999999,curious_risk
-65.230709,44.402612999999995,curious_risk
-65.217326,44.404230999999996,neutral_passive
-65.255582,44.404963,curious_risk
-65.258679,44.405082,curious_risk
-65.251326,44.405578,neutral_passive
-65.26297599999998,44.406605000000006,curious_risk
-65.255699,44.40702,neutral_passive
-65.251278,44.407653,curious_risk
-65.252563,44.408531999999994,curious_risk
-65.229635,44.409022,curious_risk
-65.215129,44.410498,aggressive
